area_type,location,size,total_sqft,bath,balcony,price (in lakhs)
3,419,2.0,1056.0,2.0,1.0,39.07
2,317,4.0,2600.0,5.0,3.0,120.0
0,1179,3.0,1440.0,2.0,3.0,62.0
3,757,3.0,1521.0,3.0,1.0,95.0
3,716,2.0,1200.0,2.0,1.0,51.0
3,1252,2.0,1170.0,2.0,1.0,38.0
3,895,4.0,2732.0,4.0,2.0,204.0
3,799,3.0,1310.0,3.0,1.0,63.25
3,1252,3.0,1800.0,2.0,2.0,70.0
2,1252,4.0,2785.0,5.0,3.0,295.0
3,72,2.0,1000.0,2.0,1.0,38.0
0,466,2.0,1100.0,2.0,2.0,40.0
2,1038,3.0,2250.0,3.0,2.0,148.0
3,837,2.0,1175.0,2.0,2.0,73.5
3,268,3.0,1180.0,3.0,2.0,48.0
3,972,3.0,1540.0,3.0,3.0,60.0
3,988,3.0,2770.0,4.0,2.0,290.0
3,788,2.0,1100.0,2.0,2.0,48.0
3,267,3.0,1755.0,3.0,1.0,122.0
2,1148,4.0,2800.0,5.0,2.0,380.0
3,236,3.0,1767.0,3.0,1.0,103.0
3,1306,3.0,1250.0,3.0,2.0,56.0
3,417,2.0,660.0,1.0,1.0,23.1
0,1252,3.0,1610.0,3.0,2.0,81.0
3,987,2.0,1151.0,2.0,2.0,48.77
3,417,3.0,1025.0,2.0,1.0,47.0
3,268,3.0,1075.0,2.0,1.0,35.0
3,513,3.0,1760.0,2.0,2.0,123.0
3,972,3.0,1693.0,3.0,3.0,57.39
0,673,3.0,1925.0,3.0,2.0,125.0
3,664,2.0,700.0,2.0,1.0,36.0
3,422,2.0,1070.0,2.0,1.0,45.5
3,731,3.0,1724.0,3.0,2.0,125.0
3,326,3.0,1290.0,2.0,2.0,56.12
0,1179,2.0,1143.0,2.0,2.0,45.0
0,833,2.0,1296.0,2.0,2.0,81.0
3,1039,3.0,1254.0,3.0,2.0,38.0
3,664,2.0,1330.74,2.0,2.0,91.79
3,1252,2.0,1459.0,2.0,1.0,94.82
2,626,2.0,800.0,1.0,1.0,130.0
0,1306,2.0,869.0,2.0,1.0,36.0
3,1306,2.0,1270.0,2.0,1.0,50.0
3,252,3.0,1670.0,3.0,1.0,99.0
0,1252,3.0,2010.0,3.0,2.0,91.0
3,745,2.0,1185.0,2.0,2.0,75.0
3,1261,3.0,1600.0,2.0,3.0,75.0
3,232,2.0,1200.0,2.0,2.0,44.0
0,365,4.0,3210.0,2.0,2.0,192.0
3,988,2.0,1500.0,2.0,2.0,185.0
3,1306,2.0,840.0,2.0,2.0,45.0
2,1306,3.0,4395.0,3.0,2.0,240.0
3,437,2.0,845.0,2.0,1.0,55.0
0,1190,2.0,1160.0,2.0,2.0,44.0
3,396,2.0,1100.0,2.0,1.0,62.0
3,484,2.0,1140.0,2.0,3.0,43.0
3,799,2.0,1220.0,2.0,1.0,57.0
3,664,2.0,1005.0,2.0,1.0,36.68
3,232,2.0,1358.0,2.0,1.0,80.58
3,515,3.0,1569.0,3.0,1.0,101.0
3,506,2.0,1240.0,2.0,1.0,70.0
3,522,3.0,2089.0,3.0,2.0,140.0
3,715,2.0,1206.0,2.0,1.0,48.23
3,641,2.0,1150.0,2.0,3.0,40.0
0,335,3.0,2511.0,3.0,3.0,205.0
3,1306,3.0,1660.0,2.0,2.0,105.0
0,522,4.0,3203.5,2.0,2.0,224.5
3,1261,2.0,1326.0,2.0,2.0,78.0
3,443,3.0,1325.0,2.0,2.0,60.8
3,415,3.0,1499.0,5.0,2.0,102.0
3,664,3.0,1665.0,3.0,2.0,88.0
3,358,2.0,708.0,2.0,2.0,37.0
3,670,2.0,1060.0,2.0,2.0,58.06
0,1033,2.0,1000.0,2.0,2.0,70.0
3,417,2.0,1000.0,2.0,1.0,28.88
3,1306,3.0,1450.0,2.0,2.0,70.0
