,Algorithm,train Score,RMSE_tr,MSE_tr,MAE_tr,Mape_tr,Adjusted_r2_tr,Val Score,RMSE_vl,MSE_vl,MAE_vl,Mape_val,Adjusted_r2_val,test Score,RMSE_te,MSE_te,MAE_te,Mape_te,Adjusted_r2_te
0,Simple Linear Reg Model,0.5840788782400134,44.36249068475833,1968.0305797552692,28.390821431243214,0.33499390211929403,0.5837264027130982,0.6191720697283543,39.560033079460496,1564.9962172480089,26.626891754588524,0.33195014234886167,0.6188493341942257,0.5733864900223908,44.07762020541887,1942.8366029731494,28.495875629369216,0.3360191749583089,0.5730249531495284
1,SLinear-Reg (Lasso),0.5669610011970767,45.26618961304466,2049.027922084112,29.188290575045865,0.35366612596667646,0.5665940189947013,0.6069645905189656,40.18908228583817,1615.162334977871,27.233480276575083,0.34859456446457054,0.6066315096634731,0.5653820661211126,44.48920627673141,1979.2894751335575,28.96966685808164,0.3506974738706242,0.5650137458381644
2,SLinear-Reg (Ridge),0.5840008628997491,44.36665108001715,1968.399728055987,28.42368196336664,0.3359629162232016,0.5836483212581387,0.6194177951325919,39.54726816264044,1563.9864191277943,26.66265366576501,0.33295535325444997,0.6190952678403314,0.574495280730444,44.020302924459195,1937.7870695611507,28.490136149066586,0.33654617727269504,0.5741346835107239
3,KNN,0.9820043342289739,9.227719669780573,85.15081030405527,1.9418706380724668,0.022027175028047873,0.9819890836647612,0.6865810693252161,35.888463246827975,1287.9817942189222,22.03861533351218,0.2553324962754278,0.6863154600619323,0.6633681174197197,39.15420939951866,1533.0521137013554,23.273274411209638,0.25947520592810464,0.6630828361632957
4,SVR with kernel rbf,0.6491095421988855,40.74705376338837,1660.3223903964627,24.000672286804647,0.2545765216845573,0.6488121774041388,0.6791159751572255,36.31334853585263,1318.6592818863105,22.75614421161993,0.2528322325248282,0.678844039542952,0.6273025867903322,41.198274357512844,1697.2978100369,24.616848495723286,0.2604711152073904,0.6269867415249003
5,Simple DT,0.9820043342289739,9.227719669780573,85.15081030405527,1.9418706380724668,0.022027175028047873,0.9819890836647612,0.4938905007456329,45.605213606306144,2079.835508076811,27.020719285651992,0.31340693639740214,0.49346159439033255,0.47427789735801584,48.93042120766257,2394.186119559275,28.677113499262013,0.30731158501926653,0.4738323701523871
6,Logistic Regression,0.33210254868057254,251.78657733937354,63396.48052827633,206.66440907551643,505568329317075.1,0.3315365338913189,-6.545905657589641,384.95523276626466,148190.531234129,356.9558151345861,1516448223944461.8,-6.552300492892683,-1.8879930179678928,303.19829738965353,91929.20753998477,265.3926123381569,903806932073212.6,-1.890440469678035
7,Gradient Boosting,0.7370989398205554,35.27009277294999,1243.979444212499,22.422251728680497,0.2630847067104334,0.7368761423119288,0.7252152683815393,33.60381217687618,1129.2161928187718,21.913761983430565,0.2664941109776088,0.7249823999649134,0.694598363349165,37.293789593927585,1390.8267422761412,23.39767454801739,0.26959853240599246,0.6943395484028507
8,Bagging Regressor,0.9457079110499182,16.027976952610892,256.89604519342595,9.20558666470511,0.10407689761886603,0.9456619008050453,0.7157836075436537,34.17565219210449,1167.975202755696,21.137847055462586,0.24713037998209253,0.7155427461941144,0.6783504946462695,38.27298014850317,1464.8210094477179,22.82708381240317,0.253675884288549,0.6780779103196986
9,Random Forest,0.9449814922442222,16.134846453021435,260.33327006257844,9.263655716490844,0.10515749171311213,0.9449348663901919,0.7165194268672361,34.13138415700932,1164.9513844733472,21.084817590815128,0.24777500986623652,0.7162791890933948,0.6758614657106614,38.420779181142024,1476.1562728860765,22.932858299625913,0.25560144667653223,0.6755867720375348
10,ADA Boost,0.9588132312740605,13.960124576354254,194.88507818733004,6.708704981727937,0.10441204388305972,0.9587783272327673,0.683848892403513,36.0445496479847,1299.2095593260342,21.870306571836945,0.25867823963550945,0.6835809677360583,0.656001489551615,39.58030324418295,1566.6004049014796,23.588399752286925,0.2637137071750791,0.6557099653902181
11,XGBoost,0.7347108044941071,35.429923503953646,1255.2794794960068,22.523973386811676,0.26362590309634343,0.7344859831419834,0.722861168063186,33.74744832087095,1138.8902681698557,21.961552438033664,0.2667622232863626,0.7226263046462904,0.6917708802390823,37.466029369426174,1403.7033567107044,23.490190012918028,0.2707867537630722,0.6915096691206408
12,Gradient Boosting BY Grid Search,0.8338416554651498,28.03958048215789,786.2180736154098,17.967266433454526,0.21603809080951944,0.8337008433087643,0.7501416797140744,32.043441814446865,1026.782163315842,20.56484494525315,0.24647536303416137,0.749929935374849,0.7163811034709751,35.93920100459421,1291.6261688486254,21.95549342039929,0.2477182827674471,0.7161407484739166
13,Gradient Boosting Tuning using graph,0.9050035506599892,21.201379497439937,449.4984925944665,13.715166309649865,0.1722154961042136,0.9049230451944468,0.7451943144465537,32.359127783645185,1047.1131509182776,20.203503856882723,0.23858877275012352,0.7449783774248983,0.7133390201800829,36.131428036587884,1305.4800919631289,21.452474510623382,0.23902137022887687,0.7130960871463372
14,Gradient Boosting BY Random Search,0.8517132597696272,26.48875780225368,701.6542899064551,16.956727147293922,0.20602869805242352,0.8515875930406184,0.7527889590527584,31.87323769595934,1015.9032812231235,20.349040900430936,0.24335694524718926,0.7525794581705998,0.7170229359492385,35.8985125813235,1288.7032055514417,21.761971513676116,0.24497663500312442,0.716783124878009
